song_id,title,artist,genre,prompt
1,Ichill,Kakurenbo,Electronic,"Album art evoking muted and murky hues, forceful and dense, a warm, major-key brightness, measured, even movement, cool, circuit-lit geometry, hints of background music, diffuse, atmospheric texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
2,Feels Good 2 B,Jason Shaw,Electronic,"Album art evoking balanced, natural tones, forceful and dense, a warm, major-key brightness, a slow, unhurried pace, cool, circuit-lit geometry. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
3,Spirtus...,Project 5am (Feat. DJ Whodini),Electronic,"Album art evoking balanced, natural tones, soft-edged and understated, a somber, minor-key undertone, measured, even movement, a pulse of synthetic color, a rapped vocal drive, beat-driven, rhythmic drive. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
4,PMoos - Champagne Dreamz (Shatterfreak's 0% Alcohol Remix),Shatterfreak,Electronic,"Album art evoking muted and murky hues, a hushed, delicate presence, a wistful, introspective mood, measured, even movement, a pulse of synthetic color, diffuse, atmospheric texture, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
5,Sunshine,Fancy Mike,Electronic,"Album art evoking crisp and shimmering light, measured and even in force, a somber, minor-key undertone, a slow, unhurried pace, a pulse of synthetic color, hints of angry music, hints of drum and bass. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
6,Back to a Simpler Time,Gilo,Electronic,"Album art evoking an even, neutral palette, forceful and dense, a restless, high-voltage minor-key pulse, a fast, propulsive pace, cool, circuit-lit geometry, electronic, machine-made texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
7,Poison,Quaro,Electronic,"Album art evoking neither bright nor dark, bold, saturated energy, a restless, high-voltage minor-key pulse, drifting, spacious motion, a pulse of synthetic color, hints of drum and bass, electronic, machine-made texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
8,Nothing Else Matters,Mystery Mammal,Electronic,"Album art evoking crisp and shimmering light, soft-edged and understated, a somber, minor-key undertone, urgent, driving motion, cool, circuit-lit geometry, hints of trance music, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
9,HARAKIRI NATION,Blasterhead,Electronic,"Album art evoking radiant and luminous, a powerful, driving intensity, a restless, high-voltage minor-key pulse, a fast, propulsive pace, a pulse of synthetic color, synthetic production, hints of drum machine. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
10,Searching,Eric Skiff,Electronic,"Album art evoking balanced, natural tones, measured and even in force, a shadowed emotional cast, a steady, walking pace, cool, circuit-lit geometry, hints of video game music, hints of cacophony. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
11,One And,Broke For Free,Electronic,"Album art evoking dim, low-lit tones, a powerful, driving intensity, an open, uplifted mood, languid, floating movement, cool, circuit-lit geometry, hints of sampler. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
12,OST 12 Wherever Aliens!!!,sawsquarenoise,Electronic,"Album art evoking a bright, sunlit palette, a steady, grounded intensity, a wistful, introspective mood, a slow, unhurried pace, a pulse of synthetic color, hints of video game music, hints of soundtrack music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
13,Another Boring Lunchtime (edit),Psychadelik Pedestrian,Electronic,"Album art evoking sharp, glinting highlights, measured and even in force, an optimistic emotional cast, a steady, walking pace, a pulse of synthetic color, synthetic production, hints of dubstep. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
14,Her breath,arizono kazuhiro,Electronic,"Album art evoking radiant and luminous, measured and even in force, a shadowed emotional cast, languid, floating movement, cool, circuit-lit geometry, synthetic production, hints of electronica. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
15,Here and Now,Trip.Logic,Electronic,"Album art evoking radiant and luminous, soft-edged and understated, a wistful, introspective mood, a steady, walking pace, cool, circuit-lit geometry, hints of singing, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
